"","observed_on","latitude","longitude","field.colour","RedMean","RedSD","RedMin","RedMax","RedKurt","RedSkew","GreenMean","GreenSD","GreenMin","GreenMax","GreenKurt","GreenSkew","BlueMean","BlueSD","BlueMin","BlueMax","BlueKurt","BlueSkew"
"7265","2020-08-09",43.3859512375,-80.8049751073,"Black",74.5833487511563,30.9978875944817,6,154,-0.766624667440752,0.102742931868914,49.6285846438483,23.4820205447764,0,130,-0.449261595107283,0.174886256794148,19.2580943570768,12.1675778471121,0,67,-0.234682773968366,0.373301450450902
"7269","2020-07-22",43.4138608287,-71.6966154291,"Black",76.0204081632653,41.950783784627,0,191,-0.945748439743614,0.336168593748205,74.9280855199222,38.4544892251173,0,172,-1.1330314163351,0.147375402514429,55.2614188532556,28.4261737217587,0,133,-0.72743222202702,0.360051046259363
"7270","2020-08-03",45.2193256944,-81.5560618889,"Black",107.080367515049,39.5891498499112,0,235,0.0422755877274543,-0.120702227547956,98.8817192945401,37.8179626928813,0,211,0.0139067590341098,-0.118444799789933,71.7904741788996,32.5910091976422,0,216,0.137481827490943,0.141657260296226
"7271","2020-08-06",45.2158360586,-81.4677221604,"Black",163.70728720147,51.2371850540956,27,255,-0.738316519431196,0.140688804676862,152.932843437436,52.7815457248837,26,255,-0.799970217775755,0.286975543167894,118.688916105328,47.0325202822098,6,242,-0.555562400570394,0.445484163066167
"7274","2020-08-10",43.41349667,-80.1199805,"Red",175.101865136298,38.7700672643991,86,255,-0.793379913485189,0.279844171009015,160.912482065997,39.1608251261382,73,255,-0.71766874407378,0.457714388910437,136.019368723099,38.9402737856505,57,241,-0.703256572691926,0.466105447705009
"7276","2020-08-10",45.5551342099,-62.6490273706,"Black",128.739769530896,32.271623484204,16,224,0.125463474729719,-0.348567912674206,117.142183104981,31.0537619978206,4,209,0.0156132641960181,-0.304104288271258,65.6488521912712,25.5146892995516,0,165,-0.217364131224905,0.0270566391799854
"7280","2020-08-11",45.796978586,-65.7689977004,"Black",215.347307237282,34.7994289644491,8,255,3.06745326847364,-1.47856667880672,202.689110642457,34.0808097595165,0,255,3.68889467891013,-1.42470489557295,151.307700221182,35.8394491890246,0,234,1.28547584490339,-0.869546072509774
"7287","2020-08-10",45.9602527778,-63.8802055556,"Black",154.669835234474,38.3018166574723,19,241,0.734006361433346,-0.865423216799917,162.117237008872,38.3689933666221,23,254,0.914966470237052,-0.887276145955635,143.947401774398,35.6656302473839,24,226,0.678098758194537,-0.84308314545923
"7288","2020-08-11",44.5603113581,-74.2875959077,"Black",202.114427860697,22.25695039299,117,241,1.82816041145267,-1.1072131806321,190.646766169154,20.9231833617652,115,233,0.890940800426151,-0.694448549155723,143.796019900498,22.6936815893676,74,198,-0.0183253638407166,-0.138342344650691
"7289","2020-08-10",43.079016398,-71.1528358035,"Black",224.866567607727,31.4648563409849,53,255,5.21794006784179,-2.06927404012284,206.515304606241,29.08887148135,49,255,5.72500572491559,-2.03135613351918,147.324814264487,28.3265314409426,12,213,1.81768539461713,-0.965054868448245
